symbol,pChange,OI_CH
UNITDSPR,-3.5,17.09
GODREJPROP,-3.35,4.35
POWERGRID,-2.96,7.02
GODREJCP,-2.65,8.35
HDFCAMC,-2.38,3.12
BHARTIARTL,-1.93,29.77
